,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,Month,Day,Hour,Minute,Second,risehour,riseminute,sethour,setminute
38,1.25,50,30.47,88,140.64,6.75,9,29,20,45,24,6,13,18,13
39,1.23,50,30.47,87,52.89,1.12,9,29,20,40,19,6,13,18,13
40,1.21,50,30.47,86,132.66,4.5,9,29,20,35,19,6,13,18,13
41,1.25,50,30.46,85,138.35,5.62,9,29,20,30,18,6,13,18,13
42,1.23,50,30.46,84,109.87,3.37,9,29,20,25,20,6,13,18,13
43,1.23,50,30.47,81,123.25,3.37,9,29,20,20,23,6,13,18,13
44,1.26,50,30.46,75,158.64,4.5,9,29,20,15,20,6,13,18,13
45,1.17,50,30.46,70,165.22,5.62,9,29,20,10,22,6,13,18,13
46,1.22,50,30.46,63,160.51,3.37,9,29,20,5,22,6,13,18,13
47,1.22,50,30.46,51,155.36,4.5,9,29,20,0,18,6,13,18,13
48,1.22,50,30.46,47,157.78,6.75,9,29,19,55,23,6,13,18,13
49,1.24,50,30.46,46,151.6,3.37,9,29,19,50,22,6,13,18,13
50,1.25,50,30.46,47,105.78,4.5,9,29,19,45,25,6,13,18,13
51,1.19,50,30.46,48,135.55,4.5,9,29,19,40,22,6,13,18,13
52,1.19,50,30.46,56,140.92,4.5,9,29,19,35,22,6,13,18,13
53,1.23,50,30.46,57,165.0,4.5,9,29,19,30,20,6,13,18,13
54,1.19,51,30.46,55,126.63,3.37,9,29,19,25,21,6,13,18,13
55,1.23,51,30.46,54,119.97,4.5,9,29,19,20,20,6,13,18,13
56,1.22,51,30.45,53,95.57,2.25,9,29,19,15,22,6,13,18,13
57,1.24,51,30.45,51,100.02,4.5,9,29,19,10,24,6,13,18,13
58,1.24,51,30.45,51,111.73,2.25,9,29,19,5,20,6,13,18,13
59,1.23,51,30.45,52,145.77,5.62,9,29,19,0,24,6,13,18,13
60,1.23,51,30.45,51,105.89,6.75,9,29,18,55,19,6,13,18,13
61,1.24,51,30.45,52,120.86,5.62,9,29,18,50,24,6,13,18,13
62,1.23,51,30.44,55,170.11,5.62,9,29,18,45,19,6,13,18,13
63,1.21,52,30.44,55,107.15,5.62,9,29,18,40,21,6,13,18,13
64,1.24,52,30.44,55,129.29,6.75,9,29,18,35,21,6,13,18,13
65,1.18,52,30.45,59,158.73,3.37,9,29,18,30,23,6,13,18,13
66,1.52,52,30.44,59,211.38,2.25,9,29,18,25,19,6,13,18,13
67,5.07,53,30.44,61,174.97,4.5,9,29,18,20,23,6,13,18,13
68,6.16,53,30.44,62,120.78,7.87,9,29,18,15,21,6,13,18,13
69,6.63,53,30.44,59,118.82,5.62,9,29,18,10,52,6,13,18,13
70,10.96,54,30.44,59,154.16,4.5,9,29,18,5,22,6,13,18,13
71,19.42,55,30.44,57,58.42,6.75,9,29,18,0,22,6,13,18,13
72,27.14,55,30.44,53,47.86,4.5,9,29,17,55,22,6,13,18,13
73,33.75,56,30.44,52,74.56,2.25,9,29,17,50,19,6,13,18,13
74,49.57,56,30.44,49,25.72,6.75,9,29,17,45,22,6,13,18,13
75,59.62,56,30.44,50,102.11,2.25,9,29,17,40,22,6,13,18,13
76,87.23,56,30.44,48,67.49,3.37,9,29,17,35,38,6,13,18,13
77,109.93,56,30.43,49,180.29,2.25,9,29,17,30,25,6,13,18,13
78,130.82,57,30.43,57,150.2,2.25,9,29,17,25,25,6,13,18,13
79,160.52,57,30.43,55,47.3,5.62,9,29,17,20,25,6,13,18,13
80,191.37,58,30.43,52,333.81,1.12,9,29,17,15,20,6,13,18,13
81,207.05,58,30.43,49,41.62,4.5,9,29,17,10,20,6,13,18,13
82,240.99,58,30.43,45,132.36,5.62,9,29,17,5,22,6,13,18,13
83,274.83,58,30.43,41,332.09,4.5,9,29,17,0,24,6,13,18,13
84,300.94,58,30.43,55,45.88,3.37,9,29,16,55,25,6,13,18,13
85,322.71,58,30.43,56,94.24,7.87,9,29,16,50,22,6,13,18,13
86,346.59,58,30.43,50,81.57,6.75,9,29,16,45,38,6,13,18,13
87,364.18,58,30.43,49,351.03,7.87,9,29,16,40,20,6,13,18,13
88,368.35,58,30.43,51,78.81,5.62,9,29,16,35,41,6,13,18,13
89,362.84,58,30.43,46,85.96,5.62,9,29,16,30,22,6,13,18,13
90,423.9,59,30.43,48,19.78,4.5,9,29,16,25,21,6,13,18,13
91,457.69,58,30.43,59,18.26,4.5,9,29,16,20,25,6,13,18,13
92,511.38,58,30.43,52,69.08,3.37,9,29,16,15,23,6,13,18,13
93,566.83,58,30.43,52,40.87,4.5,9,29,16,10,22,6,13,18,13
94,187.96,58,30.43,49,0.13,4.5,9,29,16,5,20,6,13,18,13
95,310.59,59,30.43,58,27.34,9.0,9,29,16,0,20,6,13,18,13
96,230.26,59,30.43,46,359.93,3.37,9,29,15,55,22,6,13,18,13
97,623.31,60,30.43,46,22.18,7.87,9,29,15,50,21,6,13,18,13
98,312.1,60,30.43,48,4.38,10.12,9,29,15,45,22,6,13,18,13
99,803.72,60,30.43,44,355.03,7.87,9,29,15,40,24,6,13,18,13
100,671.97,60,30.42,47,0.4,7.87,9,29,15,35,19,6,13,18,13
101,670.32,60,30.42,51,53.16,4.5,9,29,15,30,20,6,13,18,13
102,679.73,60,30.42,48,353.87,9.0,9,29,15,25,21,6,13,18,13
103,687.62,60,30.43,54,2.04,4.5,9,29,15,20,24,6,13,18,13
104,697.66,61,30.42,53,34.85,11.25,9,29,15,15,18,6,13,18,13
105,716.27,61,30.42,44,11.08,7.87,9,29,15,10,21,6,13,18,13
106,744.43,61,30.43,50,1.6,5.62,9,29,15,5,23,6,13,18,13
107,612.34,61,30.42,53,345.21,7.87,9,29,15,2,10,6,13,18,13
108,760.9,61,30.42,50,165.42,4.5,9,29,14,55,21,6,13,18,13
109,773.71,61,30.42,57,30.3,6.75,9,29,14,50,21,6,13,18,13
110,790.08,61,30.42,59,34.24,3.37,9,29,14,45,18,6,13,18,13
111,804.28,61,30.42,59,19.11,7.87,9,29,14,40,23,6,13,18,13
112,818.82,61,30.42,53,84.61,6.75,9,29,14,35,24,6,13,18,13
113,855.63,62,30.42,51,31.88,5.62,9,29,14,30,19,6,13,18,13
114,875.16,62,30.42,58,149.48,3.37,9,29,14,25,20,6,13,18,13
115,867.9,62,30.42,54,62.54,3.37,9,29,14,20,21,6,13,18,13
116,872.67,62,30.43,58,39.59,5.62,9,29,14,15,27,6,13,18,13
117,890.52,62,30.43,50,122.13,4.5,9,29,14,10,20,6,13,18,13
118,911.06,62,30.43,53,65.07,7.87,9,29,14,0,19,6,13,18,13
119,925.16,62,30.43,49,69.79,7.87,9,29,13,55,20,6,13,18,13
120,933.15,62,30.43,47,346.87,5.62,9,29,13,50,20,6,13,18,13
121,942.73,62,30.43,53,359.93,5.62,9,29,13,45,21,6,13,18,13
122,955.74,62,30.43,50,9.92,4.5,9,29,13,40,21,6,13,18,13
123,959.47,62,30.43,54,19.98,9.0,9,29,13,35,21,6,13,18,13
124,970.22,62,30.43,57,0.9,6.75,9,29,13,30,20,6,13,18,13
125,974.87,62,30.43,54,19.13,11.25,9,29,13,25,18,6,13,18,13
126,985.22,62,30.44,53,61.93,7.87,9,29,13,20,20,6,13,18,13
127,992.19,62,30.43,50,63.35,10.12,9,29,13,15,25,6,13,18,13
128,997.26,62,30.44,56,171.18,7.87,9,29,13,10,22,6,13,18,13
129,1004.6,62,30.44,54,45.65,7.87,9,29,13,5,22,6,13,18,13
130,1007.96,63,30.44,54,15.92,11.25,9,29,13,0,19,6,13,18,13
131,1013.59,63,30.44,54,130.14,9.0,9,29,12,55,22,6,13,18,13
132,1020.55,62,30.44,51,21.54,10.12,9,29,12,50,20,6,13,18,13
133,1025.63,62,30.44,45,70.89,15.75,9,29,12,45,19,6,13,18,13
134,1029.41,63,30.45,46,59.62,12.37,9,29,12,40,20,6,13,18,13
135,1034.46,63,30.45,43,79.08,7.87,9,29,12,35,20,6,13,18,13
136,1033.54,63,30.45,43,359.46,5.62,9,29,12,30,19,6,13,18,13
137,1039.06,63,30.45,40,59.89,4.5,9,29,12,25,21,6,13,18,13
138,1039.67,63,30.45,39,40.66,6.75,9,29,12,20,20,6,13,18,13
139,1037.76,64,30.46,41,20.44,14.62,9,29,12,15,20,6,13,18,13
140,1039.52,64,30.45,41,40.4,13.5,9,29,12,10,24,6,13,18,13
141,1040.14,63,30.45,41,117.62,4.5,9,29,12,5,20,6,13,18,13
142,1039.22,63,30.46,42,354.78,1.12,9,29,12,0,27,6,13,18,13
143,1035.99,63,30.46,41,35.68,4.5,9,29,11,55,20,6,13,18,13
144,1033.49,63,30.46,39,350.0,5.62,9,29,11,50,20,6,13,18,13
145,1029.15,63,30.46,41,14.63,9.0,9,29,11,45,18,6,13,18,13
146,1025.51,63,30.46,41,349.53,2.25,9,29,11,40,20,6,13,18,13
147,1023.78,63,30.46,41,31.9,9.0,9,29,11,35,19,6,13,18,13
148,1017.57,63,30.47,37,339.83,3.37,9,29,11,30,22,6,13,18,13
149,1013.93,63,30.47,34,67.14,11.25,9,29,11,25,20,6,13,18,13
150,1009.36,63,30.47,34,61.67,9.0,9,29,11,20,21,6,13,18,13
151,1002.89,63,30.47,33,32.74,6.75,9,29,11,15,22,6,13,18,13
152,999.19,63,30.47,31,4.51,6.75,9,29,11,11,56,6,13,18,13
153,987.02,62,30.47,36,38.9,10.12,9,29,11,5,22,6,13,18,13
154,981.66,63,30.47,40,28.85,7.87,9,29,11,0,23,6,13,18,13
155,973.79,63,30.47,35,114.97,5.62,9,29,10,55,21,6,13,18,13
156,964.46,63,30.47,37,60.94,6.75,9,29,10,50,22,6,13,18,13
157,957.02,62,30.47,40,37.85,7.87,9,29,10,45,20,6,13,18,13
158,946.32,62,30.47,44,38.03,11.25,9,29,10,40,22,6,13,18,13
159,933.08,62,30.47,45,37.37,11.25,9,29,10,35,22,6,13,18,13
160,926.79,62,30.47,43,10.44,5.62,9,29,10,30,21,6,13,18,13
161,915.84,62,30.47,42,5.51,11.25,9,29,10,25,19,6,13,18,13
162,901.65,62,30.47,42,24.74,9.0,9,29,10,20,19,6,13,18,13
163,899.53,61,30.47,46,37.67,7.87,9,29,10,15,23,6,13,18,13
164,878.76,62,30.47,49,61.93,7.87,9,29,10,10,20,6,13,18,13
165,867.98,61,30.47,44,359.93,6.75,9,29,10,5,23,6,13,18,13
166,855.89,62,30.47,41,26.99,7.87,9,29,10,0,25,6,13,18,13
167,841.52,61,30.47,42,21.37,9.0,9,29,9,55,21,6,13,18,13
168,830.19,62,30.47,38,52.73,10.12,9,29,9,50,22,6,13,18,13
169,815.1,62,30.47,39,61.67,6.75,9,29,9,45,19,6,13,18,13
170,799.29,62,30.47,41,42.59,5.62,9,29,9,40,20,6,13,18,13
171,785.6,61,30.47,41,37.83,7.87,9,29,9,35,25,6,13,18,13
172,768.39,61,30.47,45,7.14,7.87,9,29,9,30,21,6,13,18,13
173,754.06,61,30.47,44,186.9,4.5,9,29,9,25,19,6,13,18,13
174,738.75,61,30.47,43,7.25,7.87,9,29,9,20,22,6,13,18,13
175,722.23,61,30.46,44,33.19,11.25,9,29,9,15,23,6,13,18,13
176,706.41,61,30.46,44,56.91,6.75,9,29,9,10,23,6,13,18,13
177,686.3,61,30.46,45,70.29,3.37,9,29,9,5,21,6,13,18,13
178,669.11,60,30.46,49,16.18,9.0,9,29,9,0,26,6,13,18,13
179,652.51,61,30.46,47,52.76,2.25,9,29,8,55,21,6,13,18,13
180,634.99,61,30.46,41,14.96,6.75,9,29,8,50,23,6,13,18,13
181,617.87,61,30.46,31,19.08,7.87,9,29,8,45,27,6,13,18,13
182,597.41,61,30.46,34,0.1,2.25,9,29,8,40,21,6,13,18,13
183,578.24,61,30.46,31,24.56,4.5,9,29,8,35,22,6,13,18,13
184,559.23,60,30.46,35,41.61,1.12,9,29,8,30,21,6,13,18,13
185,538.41,60,30.46,37,31.05,3.37,9,29,8,25,21,6,13,18,13
186,519.16,60,30.46,41,25.35,4.5,9,29,8,20,23,6,13,18,13
187,499.21,60,30.45,40,3.77,3.37,9,29,8,15,21,6,13,18,13
188,478.48,60,30.45,40,17.86,3.37,9,29,8,10,19,6,13,18,13
189,458.27,59,30.45,40,74.63,1.12,9,29,8,5,18,6,13,18,13
190,438.05,59,30.45,45,64.84,2.25,9,29,8,0,24,6,13,18,13
191,416.28,60,30.44,30,53.32,5.62,9,29,7,55,19,6,13,18,13
192,395.14,59,30.44,31,75.7,3.37,9,29,7,50,19,6,13,18,13
193,373.7,58,30.44,34,58.43,2.25,9,29,7,45,20,6,13,18,13
194,352.56,57,30.43,34,113.5,1.12,9,29,7,40,19,6,13,18,13
195,305.78,54,30.43,38,146.52,1.12,9,29,7,30,21,6,13,18,13
196,278.29,52,30.43,42,142.16,2.25,9,29,7,25,21,6,13,18,13
197,251.51,51,30.43,44,151.94,2.25,9,29,7,20,28,6,13,18,13
198,222.48,50,30.43,46,143.23,4.5,9,29,7,15,24,6,13,18,13
199,164.44,49,30.43,47,172.83,3.37,9,29,7,10,22,6,13,18,13
200,21.36,48,30.43,48,176.93,4.5,9,29,7,5,23,6,13,18,13
201,20.0,48,30.42,50,182.88,5.62,9,29,7,0,25,6,13,18,13
202,19.24,48,30.42,51,173.07,7.87,9,29,6,55,23,6,13,18,13
203,18.33,47,30.42,53,191.44,7.87,9,29,6,50,19,6,13,18,13
204,17.31,47,30.42,54,193.99,9.0,9,29,6,45,20,6,13,18,13
205,16.09,47,30.42,55,190.38,10.12,9,29,6,40,22,6,13,18,13
206,14.73,47,30.42,56,179.45,10.12,9,29,6,35,19,6,13,18,13
207,12.53,47,30.42,57,188.58,6.75,9,29,6,30,20,6,13,18,13
208,9.86,47,30.42,57,188.37,7.87,9,29,6,25,21,6,13,18,13
209,7.7,47,30.41,58,192.09,7.87,9,29,6,20,20,6,13,18,13
210,6.17,47,30.41,61,157.11,7.87,9,29,6,15,22,6,13,18,13
211,4.32,47,30.41,62,177.65,6.75,9,29,6,10,23,6,13,18,13
212,2.34,47,30.41,62,187.76,7.87,9,29,6,5,20,6,13,18,13
213,1.47,47,30.41,61,185.73,7.87,9,29,6,0,24,6,13,18,13
214,1.21,47,30.41,60,184.95,9.0,9,29,5,55,25,6,13,18,13
215,1.23,47,30.41,59,182.07,9.0,9,29,5,50,21,6,13,18,13
216,1.24,46,30.41,58,184.89,10.12,9,29,5,45,21,6,13,18,13
217,1.23,46,30.4,59,190.62,7.87,9,29,5,40,21,6,13,18,13
218,1.21,46,30.4,58,188.4,7.87,9,29,5,35,26,6,13,18,13
219,1.21,46,30.4,58,193.81,5.62,9,29,5,30,27,6,13,18,13
220,1.22,45,30.4,56,191.32,6.75,9,29,5,25,22,6,13,18,13
221,1.22,45,30.4,56,184.3,5.62,9,29,5,20,24,6,13,18,13
222,1.2,45,30.4,55,174.74,4.5,9,29,5,15,21,6,13,18,13
223,1.2,45,30.4,55,184.56,6.75,9,29,5,10,22,6,13,18,13
224,1.16,46,30.4,55,165.66,6.75,9,29,5,5,20,6,13,18,13
225,1.15,46,30.4,53,177.23,4.5,9,29,5,0,22,6,13,18,13
226,1.18,46,30.4,51,173.92,4.5,9,29,4,55,25,6,13,18,13
227,1.18,46,30.4,50,174.53,5.62,9,29,4,50,25,6,13,18,13
228,1.18,46,30.4,50,163.85,3.37,9,29,4,45,20,6,13,18,13
229,1.19,46,30.4,49,166.26,4.5,9,29,4,40,21,6,13,18,13
230,1.18,46,30.39,49,176.34,3.37,9,29,4,35,19,6,13,18,13
231,1.2,46,30.39,48,170.62,5.62,9,29,4,30,25,6,13,18,13
232,1.17,46,30.39,47,176.8,3.37,9,29,4,25,25,6,13,18,13
233,1.17,46,30.39,47,170.45,4.5,9,29,4,20,21,6,13,18,13
234,1.18,46,30.39,45,180.3,3.37,9,29,4,15,29,6,13,18,13
235,1.21,46,30.39,45,187.66,6.75,9,29,4,10,22,6,13,18,13
236,1.17,46,30.39,45,173.01,5.62,9,29,4,5,18,6,13,18,13
237,1.18,46,30.39,45,178.75,5.62,9,29,4,0,20,6,13,18,13
238,1.19,46,30.39,47,171.85,6.75,9,29,3,55,20,6,13,18,13
239,1.18,46,30.39,47,189.46,6.75,9,29,3,50,26,6,13,18,13
240,1.2,46,30.39,48,169.78,5.62,9,29,3,45,22,6,13,18,13
241,1.22,46,30.39,50,183.99,6.75,9,29,3,40,26,6,13,18,13
242,1.21,46,30.39,52,173.17,5.62,9,29,3,35,22,6,13,18,13
243,1.22,46,30.38,55,186.34,7.87,9,29,3,30,19,6,13,18,13
244,1.21,46,30.38,56,159.97,6.75,9,29,3,25,23,6,13,18,13
245,1.18,47,30.38,57,170.61,4.5,9,29,3,20,23,6,13,18,13
246,1.24,47,30.39,58,171.98,3.37,9,29,3,15,22,6,13,18,13
247,1.22,47,30.38,58,177.67,6.75,9,29,3,10,24,6,13,18,13
248,1.24,47,30.39,58,165.64,5.62,9,29,3,5,19,6,13,18,13
249,1.26,47,30.38,58,181.39,4.5,9,29,3,0,19,6,13,18,13
250,1.18,47,30.38,58,156.71,3.37,9,29,2,55,25,6,13,18,13
251,1.24,47,30.39,58,156.31,7.87,9,29,2,50,25,6,13,18,13
252,1.19,47,30.39,59,168.46,4.5,9,29,2,45,23,6,13,18,13
253,1.2,47,30.39,59,172.8,5.62,9,29,2,40,23,6,13,18,13
254,1.24,47,30.39,60,158.68,5.62,9,29,2,35,22,6,13,18,13
255,1.23,47,30.39,60,167.47,6.75,9,29,2,30,25,6,13,18,13
256,1.25,47,30.39,60,165.89,5.62,9,29,2,25,21,6,13,18,13
257,1.23,47,30.39,62,163.06,5.62,9,29,2,20,21,6,13,18,13
258,1.2,47,30.39,64,154.2,2.25,9,29,2,15,23,6,13,18,13
259,1.24,47,30.39,64,190.87,6.75,9,29,2,10,20,6,13,18,13
260,1.24,47,30.39,66,168.77,4.5,9,29,2,5,24,6,13,18,13
261,1.23,47,30.4,65,183.32,5.62,9,29,2,0,30,6,13,18,13
262,1.2,47,30.4,68,170.4,4.5,9,29,1,55,24,6,13,18,13
263,1.21,48,30.4,70,186.06,5.62,9,29,1,50,23,6,13,18,13
264,1.22,48,30.4,69,152.34,5.62,9,29,1,45,24,6,13,18,13
265,1.25,48,30.4,71,171.74,5.62,9,29,1,40,18,6,13,18,13
266,1.18,48,30.4,73,164.9,6.75,9,29,1,35,21,6,13,18,13
267,1.22,48,30.4,76,193.66,5.62,9,29,1,30,21,6,13,18,13
268,1.21,48,30.4,76,183.44,5.62,9,29,1,25,20,6,13,18,13
269,1.25,48,30.4,77,169.53,5.62,9,29,1,20,23,6,13,18,13
270,1.23,48,30.41,77,170.89,5.62,9,29,1,15,20,6,13,18,13
271,1.23,48,30.41,77,180.16,5.62,9,29,1,10,26,6,13,18,13
272,1.22,48,30.41,78,159.54,5.62,9,29,1,5,19,6,13,18,13
273,1.23,48,30.41,78,160.62,5.62,9,29,1,0,24,6,13,18,13
274,1.23,48,30.41,78,179.43,5.62,9,29,0,55,25,6,13,18,13
275,1.19,48,30.41,78,177.17,5.62,9,29,0,50,29,6,13,18,13
276,1.22,48,30.41,78,176.09,3.37,9,29,0,45,24,6,13,18,13
277,1.22,48,30.41,78,170.4,6.75,9,29,0,40,19,6,13,18,13
278,1.22,49,30.41,78,181.25,4.5,9,29,0,35,21,6,13,18,13
279,1.22,49,30.41,77,183.79,7.87,9,29,0,30,22,6,13,18,13
280,1.22,49,30.41,78,166.36,4.5,9,29,0,25,24,6,13,18,13
281,1.23,49,30.42,77,168.56,5.62,9,29,0,20,25,6,13,18,13
282,1.21,50,30.42,75,162.03,5.62,9,29,0,10,23,6,13,18,13
283,1.22,50,30.42,75,121.92,2.25,9,29,0,5,20,6,13,18,13
284,1.21,49,30.42,75,148.94,6.75,9,29,0,0,31,6,13,18,13
285,1.24,50,30.42,75,167.24,5.62,9,28,23,55,21,6,13,18,14
286,1.23,50,30.42,74,169.78,5.62,9,28,23,50,24,6,13,18,14
287,1.22,50,30.42,74,183.28,4.5,9,28,23,45,31,6,13,18,14
288,1.21,50,30.42,74,159.15,6.75,9,28,23,40,21,6,13,18,14
289,1.24,50,30.42,73,176.24,4.5,9,28,23,35,21,6,13,18,14
290,1.23,50,30.42,74,158.44,6.75,9,28,23,30,24,6,13,18,14
291,1.23,50,30.42,75,161.04,7.87,9,28,23,25,21,6,13,18,14
292,1.24,50,30.43,75,145.97,6.75,9,28,23,20,23,6,13,18,14
293,1.19,50,30.43,77,168.62,7.87,9,28,23,15,20,6,13,18,14
294,1.22,50,30.43,79,160.36,5.62,9,28,23,10,23,6,13,18,14
295,1.22,50,30.43,79,149.44,4.5,9,28,23,5,21,6,13,18,14
296,1.23,50,30.43,81,147.81,9.0,9,28,23,0,25,6,13,18,14
297,1.2,51,30.43,82,161.97,5.62,9,28,22,55,20,6,13,18,14
298,1.22,51,30.43,84,169.04,6.75,9,28,22,50,24,6,13,18,14
299,1.2,51,30.43,86,167.45,5.62,9,28,22,45,22,6,13,18,14
300,1.23,50,30.43,88,163.91,6.75,9,28,22,40,19,6,13,18,14
301,1.22,50,30.43,89,142.26,10.12,9,28,22,35,23,6,13,18,14
302,1.23,50,30.43,89,161.97,12.37,9,28,22,30,25,6,13,18,14
303,1.23,51,30.43,87,159.7,9.0,9,28,22,25,27,6,13,18,14
304,1.22,51,30.44,85,78.09,5.62,9,28,22,20,21,6,13,18,14
305,1.23,51,30.43,77,88.77,4.5,9,28,22,15,20,6,13,18,14
306,1.21,51,30.43,75,130.36,4.5,9,28,22,10,25,6,13,18,14
307,1.21,51,30.43,75,162.76,4.5,9,28,22,5,21,6,13,18,14
308,1.2,51,30.43,73,146.94,7.87,9,28,22,0,20,6,13,18,14
309,1.2,51,30.43,71,116.25,3.37,9,28,21,55,20,6,13,18,14
310,1.21,51,30.43,71,144.4,3.37,9,28,21,50,28,6,13,18,14
311,1.22,51,30.43,68,148.71,7.87,9,28,21,45,22,6,13,18,14
312,1.21,51,30.43,66,153.22,5.62,9,28,21,40,21,6,13,18,14
313,1.24,51,30.43,67,179.54,5.62,9,28,21,35,24,6,13,18,14
314,1.2,51,30.43,69,180.65,2.25,9,28,21,30,30,6,13,18,14
315,1.22,51,30.43,72,157.82,3.37,9,28,21,25,21,6,13,18,14
316,1.21,51,30.44,67,135.43,5.62,9,28,21,20,23,6,13,18,14
317,1.25,51,30.43,67,100.03,2.25,9,28,21,15,28,6,13,18,14
318,1.25,51,30.43,68,112.05,6.75,9,28,21,10,20,6,13,18,14
319,1.23,51,30.43,70,151.33,9.0,9,28,21,5,20,6,13,18,14
320,1.23,51,30.43,75,138.72,6.75,9,28,21,0,26,6,13,18,14
321,1.23,51,30.43,73,159.9,7.87,9,28,20,55,18,6,13,18,14
322,1.18,52,30.43,68,105.34,4.5,9,28,20,50,21,6,13,18,14
323,1.24,52,30.43,67,127.43,5.62,9,28,20,45,20,6,13,18,14
324,1.23,52,30.43,67,120.88,7.87,9,28,20,40,19,6,13,18,14
325,1.2,52,30.43,65,88.97,2.25,9,28,20,35,18,6,13,18,14
326,1.23,52,30.42,65,111.28,4.5,9,28,20,30,22,6,13,18,14
327,1.23,52,30.42,66,140.23,5.62,9,28,20,25,24,6,13,18,14
328,1.23,52,30.42,65,160.04,6.75,9,28,20,20,29,6,13,18,14
329,1.23,52,30.42,66,139.86,10.12,9,28,20,15,24,6,13,18,14
330,1.21,52,30.41,67,122.69,6.75,9,28,20,10,19,6,13,18,14
331,1.24,52,30.41,66,152.68,1.12,9,28,20,5,22,6,13,18,14
332,1.22,53,30.41,69,162.52,5.62,9,28,20,0,22,6,13,18,14
333,1.22,53,30.41,68,103.2,6.75,9,28,19,55,21,6,13,18,14
334,1.23,53,30.41,69,128.17,5.62,9,28,19,50,18,6,13,18,14
335,1.21,53,30.41,70,96.22,6.75,9,28,19,45,24,6,13,18,14
336,1.27,53,30.41,73,109.76,6.75,9,28,19,40,24,6,13,18,14
337,1.24,53,30.41,70,97.28,6.75,9,28,19,35,27,6,13,18,14
338,1.2,53,30.4,71,189.66,1.12,9,28,19,30,22,6,13,18,14
339,1.24,53,30.4,71,119.71,4.5,9,28,19,25,22,6,13,18,14
340,1.2,53,30.4,72,116.54,4.5,9,28,19,20,22,6,13,18,14
341,1.25,52,30.4,77,144.9,4.5,9,28,19,15,19,6,13,18,14
342,1.25,52,30.39,82,137.32,6.75,9,28,19,10,32,6,13,18,14
343,1.2,52,30.39,88,73.0,3.37,9,28,19,5,22,6,13,18,14
344,1.24,52,30.39,93,118.46,4.5,9,28,19,0,26,6,13,18,14
